,titles,abstarcts
129,"
                  More in-depth Analysis of 2D LDA
","""... Spatial dimension reduction called Two Dimensional LDA method has recently been presented. The application of this variation of tra-ditional LDA considers images as 2D matrices instead of 1D vectors as PCA and LDA, traditional dimension reduction, methods have been using. The spatial approaches are  ..."""
130,"
                  Face Recognition Using Complete Fuzzy LDA
","""... In this paper, we propose a novel method for feature extraction and recognition, namely, Complete Fuzzy LDA (CFLDA). CFLDA combines the complete LDA and fuzzy set theory. CFLDA redefines the fuzzy between-class scatter matrix and fuzzy within-class scatter matrix that make fully of the distribution  ..."""
131,"
                  IOS Press Dual LDA for Face Recognition
                  ","""... Abstract. The complete theory for Fisher and dual discriminant analysis is presented as the background of the novel algorithms. LDA is found as composition of projection onto the singular subspace for within-class normalised data with the projection onto the singular subspace for betweenclass normal ..."""
132,"
                  Efficient Regularized LDA for Hyperspectral Image Classification
                  ","""... In this paper, we focus on different kinds of regularization for Linear Discriminant Analysis (LDA) in the context of ill-posed remote sensing image classification problems. Several LDA-based classifiers are studied theoretically and tested on various remote sensing datasets. In addition, we introdu ..."""
133,"
                  FACE RECOGNITION USING LDA WITH WAVELET TRANSFORM APPROACH
                  ","""...  & NemiChand Singh 6 Linear Discriminant Analysis (LDA) is one of the principal techniques used in face recognition systems. Linear Discriminant Analysis (LDA) is well-known scheme for feature extraction and dimension reduction. It provides improved performance over the standard Principal Compon ..."""
134,"
                  The LDA+DMFT Approach to Materials with Strong Electronic Correlations
                  ","""... Permission to make digital or hard copies of portions of this work for personal or classroom use is granted provided that the copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. To copy otherwise requires pri ..."""
135,"
                  Multiclass Classifiers Based on Dimension Reduction with Generalized LDA
","""... Linear discriminant analysis (LDA) has been widely used for dimension reduction of data sets with multiple classes. The LDA has been recently extended to various generalized LDA methods which are applicable regardless of the relative sizes between the data dimension and the number of data items. In  ..."""
136,"
                  Performance Evaluation of LDA & RADON in GAIT Recognition
                  ","""... Gait is an emergent biometric aimed essentially to recognize people by the way they walk. Gait’s advantages are that it requires no contact like automatic face recognition, and that it is less likely to be obscured than other biometrics. Gait has allied subjects including medical studies, psychology ..."""
137,"
                  A COMPARATIVE STUDY OF PCA, ICA AND LDA
","""... Abstract: Different statistical methods for face recognition have been proposed in recent years and different research groups have reported contradictory results when comparing them. The goal of this paper is to present an independent, comparative study of three most popular appearance-based face re ..."""
138,"
                  An Improved LDA Model for Academic Document Analysis
                  ","""... Abstract—Electronic documents on the Internet are always generated with many kinds of side information. Although those massive kinds of information make the analysis become very difficult, models would fit and analyze data well if they could make full use of those kinds of side information. This pap ..."""
139,"
                  ACCURATE LDA-SPECTRA BY RESAMPLING AND ARMA- MODELING
                  ","""... With Laser-Doppler Anemometry (LDA) the velocity of gases and liquids is measured without disturbing the flow. The velocity signal is sampled at irregular intervals; a regularly resampled signal is extracted using Nearest Neighbor Resampling or Linear Interpolation. From the resampled data the spect ..."""
140,"
                  1Some “Goodness ” Properties of LDA Lattices
                  ","""... We study some structural properties of Construction-A lattices obtained from low density parity check (LDPC) codes over prime fields. Such lattices are called low density Construction-A (LDA) lattices, and permit low-complexity belief propagation decoding for transmission over Gaussian channels. It  ..."""
141,"
LDA Topic Model with Soft Assignment of Descriptors to Words
                  ","""... The LDA topic model is being used to model corpora of documents that can be represented by bags of words. Here we extend the LDA model to deal with documents that are represented by bags of continuous descriptors. Given a finite dictionary of words, our extended LDA model allows for the soft assignm ..."""
142,"
                  LSA and LDA for image features and annotated images
                  ","""... Latent Semantic Analysis (LSA) and Latent Dirichlet Analysis (LDA) are two approaches for drawing out semantic similarities in documents or data sets in general. This project looks at the use of these techniques for providing co-clustering techniques for images. The project involves selecting a set  ..."""
143,"
                  Rethinking LDA: Moment Matching for Discrete ICA
                  ","""... We consider moment matching techniques for estimation in latent Dirichlet allo-cation (LDA). By drawing explicit links between LDA and discrete versions of independent component analysis (ICA), we first derive a new set of cumulant-based tensors, with an improved sample complexity. Moreover, we reus ..."""
144,"
                  Face Recognition Based on LDA and SOM Neural Nets
                  ","""... The use of biometric technique for automatic personal identification is one of the biggest challenges in the security field. The process is complex, because it is influenced by many factors related to the form, position, illumination, rotation, translation, disguise and occlusion of face characteris ..."""
145,"
                  Deteraiination of the Hydrodynamics in a Bubble Column by means of LDA
","""... The hydrodynamic behaviour ofthe liquid flow in a 3D &aposair-water &apos bubble column 15 cm in diameter and a gas-fraction of 10 % was investigated. The study focussed on the low-frequency part (0-2 Hz) of liquid velocity time series measured close to the wall in order to get an indication as to ..."""
146,"
LDA measurements and turbulence spectral analysis in an agitated vessel
                  ","""... Abstract. During the last years considerable improvement of the derivation of turbulence power spectrum from Laser Doppler Anemometry (LDA) has been achieved. The irregularly sampled LDA data is proposed to approximate by several methods e.g. Lomb-Scargle method, which estimates amplitude and phase  ..."""
147,"
                  An LDA Approach to the Neural Correlates of Configural Learning
                  ","""... The purpose of our current study is to employ linear discriminant analysis (LDA; Philiastides & Sajda, 2006) to characterize the changes in ERPs over the entire course of a perceptual learning task. Configural learning is the perceptual learning process by which participants develop configural p ..."""
148,"
LDA Based Feature Estimation Methods for LVCSR
                  ","""... Features that model temporal aspects of phonemes are important in speech recognition. One method is to use linear discriminant analysis (LDA) to find discriminative features from a spectrotemporal input formed by concatenating consecutive frames of short-time spectrum features. Others use e.g. neura ..."""
149,"
                  Combining Features Via Lda In Speaker Recognition
                  ","""... This paper  1  discusses cepstral feature combinations via linear discriminant analysis (LDA) in the context of automatic speaker identification (ASI). Two static cepstral features are considered, namely standard MFCC and a sub-band filtered form derived via linear prediction known as RASTA-PLP. The ..."""
150,"
                  Gender Clustering Improvement for Speaker Adaptation Using LDA
","""... Abstract: Speaker adaptation is an important issue in current speech recognition researches. Speaker clustering is one of the widely used methods in speaker adaptation. In this paper the effect of Linear Discriminant Analysis (LDA) on increasing the accuracy of some clustering methods such as k-mean ..."""
151,"
                  A Novel Iris Recognition Based on LDA and LPCC
                  ","""... In this paper, the iris recognition algorithm based on LPCC and LDA is first presented. So far, the two algorithms are not found for iris recognition in literature. In addition, a simple and fast training algorithm, particle swarm optimization (PSO), is also introduced for training the Probabilistic ..."""
152,"
                  Comparison on PCA ICA and LDA in Face Recognition
                  ","""... Face recognition is used in wide range of application. In recent years, face recognition has become one of the most successful applications in image analysis and understanding. Different statistical method and research groups reported a contradictory result when comparing principal component analysi ..."""
153,"
                  Jointly Modeling Aspects and Opinions with a MaxEnt-LDA Hybrid
                  ","""... Discovering and summarizing opinions from online reviews is an important and challenging task. A commonly-adopted framework generates structured review summaries with aspects and opinions. Recently topic models have been used to identify meaningful review aspects, but existing topic models do not id ..."""
154,"
                  Pose Adaptive LDA Based Face Recognition
                  ","""... In this paper, a novel method based on pose adaptive linear discriminant analysis (PALDA) is proposed to deal with pose variation problems in face recognition when each person has only one frontal training sample. The basic idea of the PALDA method is described as follows: first, the pose style of t ..."""
155,"
                  Accurate Face Recognition Using PCA and LDA
","""... Face recognition from images is a sub-area of the general object recognition problem. It is of particular interest in a wide variety of applications. Here, the face recognition is based on the new proposed modified PCA algorithm by using some components of the LDA algorithm of the face recognition.  ..."""
156,"
                  An efficient method of DFT/LDA band-gap correction
                  ","""...  a b s t r a c t It has been shown that the underestimated by DFT/LDA(GGA) band-gap can be efficiently corrected by an averaging procedure of transition energies over a region close to the direct band-gap transition, which we call the ∆(EIG) method (the differences in the Kohn-Sham eigenvalues). For ..."""
157,"
LDA-SVM-Based EGFR Mutation Model for NSCLC
                  ","""... Abstract: Epidermal growth factor receptor (EGFR) activating mutations are a predictor of tyrosine kinase inhibitor effectiveness in the treatment of non–small-cell lung cancer (NSCLC). The objective of this study is to build a model for predicting the EGFR mutation status of brain metastasis in pat ..."""
158,"
                  Topic Modeling using LDA with Feedback Mechanisms
                  ","""... Abstract—Topic models provide a way to identify the latent topics from a collection of documents. Although the identified topics often appear quite representative of the data; just as often, there are parts of the output that appear erroneous or otherwise difficult to interpret by humans. This is a  ..."""
159,"
                  References WISA & LDA (2002). Management of
                  ","""... Phumdis are commonly known as floating grass Islands found on the water bodies. In India, it is reported from Loktak Lake, Manipur. During a field visit, it was interested to note a small piece of Phumdis found in a natural pond located (10.501720 N, 78.75771 E) on a hill near Narthamalai, Pudukkott ..."""
160,"
                  HETEROGENEOUS FACE RECOGNITION USING KERNEL LDA METHOD
                  ","""... Here we propose the novel method to recognize the heterogeneous face recognition. Initially we remove the noise from the image. To remove the noise present in the image we use median filter. The system involves using a relational feature representation for face images by using kernel similarities be ..."""
161,"
                  Dimensionality Reduction and Classification through PCA and LDA
","""... Information explosion has occurred in most of the sciences and researches due to advances in data collection and storage capacity in last few decades. Advance datasets with large number of observations present new challenges in data, mining, analysis and classification. Traditional statistical metho ..."""
162,"
                  Measuring Particle Transverse Velocity Using an LDA
","""...  Four problems encountered in making transverse velocity measurements with an LDA are alignment of the optical system, velocity bias correction, avoidance of incomplete signal bias, and collecting sufficient data. Each problem is discussed and the method used to overcome each is presented for the ca ..."""
163,"
                  Learning Local Image Descriptors
                  ","""... Abstract—In this paper, we explore methods for learning local image descriptors from training data. We describe a set of building blocks for constructing descriptors which can be combined together and jointly optimized so as to minimize the error of a nearest-neighbor classifier. We consider both li ..."""
164,"
                  Algorithms and networks for accelerated convergence of adaptive  LDA
","""...   ..."""
165,"
                  The LDA+DMFT route to identify good thermoelectrics
                  ","""... Abstract For technical applications thermoelectric materials with a high figure of merit are desirable, and strongly correlated electron systems are very promising in this respect. Since effects of bandstructure and electronic correlations play an important role for getting large figure of merits, t ..."""
166,"
                  Understanding MOOC Discussion Forums using Seeded LDA
","""... Discussion forums serve as a platform for student discussions in massive open online courses (MOOCs). Analyzing content in these forums can uncover useful informa-tion for improving student retention and help in initiating instructor intervention. In this work, we explore the use of topic models, pa ..."""
167,"
                  VuUblo Do.ca Fle lda
","""... volume IV, number 2 ..."""
168,"
                  Summary Statistical Techniques and Qualitative Adjustments for LDA
","""... The main focus in this presentation is a commentary on the current and emerging statistical procedures for analysing operational risk losses as part of the Loss Distribution Approach to advanced measurement. The Basel Capital Accord, Basel II, proposes this as a requirement for regulatory capital ca ..."""
169,"
                  Shapes of Features and A Modified Measure for LDA Abstract:
                  ","""... In this paper, the problem of selecting most representative features among a feature set is considered. Two new feature selection algorithms are introduced and their performances are compared with some well-known feature selection algorithms. The algorithms are tested with the iris data set, three a ..."""
170,"
                  a laminar separation bubble by means of LDA and PIV
                  ","""... on controlled transition development in ..."""
171,"
                  FACE VERIFICATION USING LDA AND MLP ON THE BANCA DATABASE
                  ","""... e-mail secre- ..."""
172,"
                  The New Face Recognition Technique With the use of PCA and LDA
","""...   ..."""
173,"
                  A SYMMETRIC TRANSFORMATION FOR LDA-BASED FACE VERIFICATION
                  ","""... e-mail secre- ..."""
174,"
                  REAL (KIND=nag_wp) A(LDA,N)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose G05PXF generates a random orthogonal matrix. ..."""
175,"
                  real A(LDA,*), ZETA(*), WORK(*) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F01QKF returns the first ‘ rows of the real n by n orthogonal matrix P T, where P is given as the product o ..."""
176,"
                  complex*16 ALPHA, X(*), Y(*), A(LDA,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F06SRF (ZHER2) performs the Hermitian rank-2 update operation A xy H þ yx H þ A where A is an n by n comple ..."""
177,"
                  complex*16 A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08CWF (ZUNGRQ) generates all or part of the complex n by n unitary matrix Q from an RQ factorization compu ..."""
178,"
                  complex*16 A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08BVF (ZTZRZF) reduces the m by n (m form by means of unitary transformations. n) complex upper trapezoida ..."""
179,"
                  real A(LDA,*), SCALE(*) CHARACTER*1
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F08NHF (SGEBAL=DGEBAL) balances a real general matrix in order to improve the accuracy of computed eigenval ..."""
180,"
                  complex*16 A(LDA,*), TAU(*), WORK(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. ..."""
181,"
                  COMPLEX (KIND=nag_wp) A(LDA,*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose F07KRF (ZPSTRF) computes the Cholesky factorization with complete pivoting of a complex Hermitian positive  ..."""
182,"
                  COMPLEX (KIND=nag_wp) A(LDA,*), X(*)
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check the interpretation of bold italicised terms and other implementation-dependent details. 1 Purpose ..."""
183,"
LDA+DMFT implemented with the pseudopotential plane-wave
                  ","""... approach ..."""
184,"
                  the V(001) surface: LDA versus GGA.
                  ","""... All-electron and pseudopotential study of the spin-polarization of ..."""
185,"
                  DOUBLE PRECISION A(LDA,∗), B(LDB,∗) INTEGER
                  ","""... Note: before using this routine, please read the Users ’ Note for your implementation to check for implementation-dependent details. You are advised to enclose any calls to NAG Parallel Library routines between calls to Z01AAFP and Z01ABFP. 1 Description F04FBFP calculates the solution of a set of r ..."""
186,"
                  Data Analysis and Dimension Reduction- PCA, LDA and LSA
                  ","""... • Goal: discover significant patterns or features from the input data ..."""
187,"
                  Supervised Classification Using Sparse Fisher’s LDA
","""... It is well known that in a supervised classification setting when the number of features, p, is smaller than the number of observations, n, Fisher’s linear discriminant rule asymptotically achieves Bayes rule. However, there are numerous applications where classification is needed in the p>> n ..."""
188,"
                  Improved LDA by using Distributing Distances and Boundary Patterns
                  ","""... Abstract- One of the statistical methods of class discriminant is linear discriminant analysis. This method, by using statistical parameters, obtain a space which by using available discriminating information among class means does classification act. By using distributing Distances, extended analys ..."""
189,"
                  Contrast of	
  LDA	
  Extensions 3 Topic Model	
  	
  =
                  ","""... over topics (docs) DistribuTons over words (topics) ..."""
190,"
                  PLDA based Speaker Verification with Weighted LDA Techniques
                  ","""... This is the author’s version of a work that was submitted/accepted for pub-lication in the following source: ..."""
191,"
                  Limbu Literature Development Association (LiLDA)
                  ","""... Reading and writing in our mother tongue is something many people take for granted. But, as this case study from Nepal reveals, introducing mother tongue literacy can entail a long struggle against both political and practical hurdles. Although the right for children to learn in their mother tongue  ..."""
192,"
                  PARTIAL LDA VS PARTIAL PCA 1
                  ","""... Recently, 3D face recognition algorithms have outperformed 2D conventional approaches by adding depth data to the problem. However, independently of the nature (2D or 3D) of the approach, the majority of them required the same data format in the test stage than the data used for training the system. ..."""
193,"
                  A CORRELATED TOPIC MODEL OF SCIENCE 
                  ","""... Topic models, such as latent Dirichlet allocation (LDA), can be useful tools for the statistical analysis of document collections and other discrete data. The LDA model assumes that the words of each document arise from a mixture of topics, each of which is a distribution over the vocabulary. A limi ..."""
194,"
                  Block-LDA: Jointly modeling entity-annotated text and entity-entity
                  ","""... links ..."""
195,"
                  A Maximum Uncertainty LDA-based approach for Limited Sample Size Problems -- with . . .
                  ","""... A critical issue of applying Linear Discriminant Analysis (LDA) is both the singularity and instability of the within-class scatter matrix. In practice, particularly in image recognition applications such as face recognition, there are often a large number of pixels or pre-processed features availab ..."""
196,"
                  A collapsed variational bayesian inference algorithm for latent dirichlet allocation
                  ","""... Latent Dirichlet allocation (LDA) is a Bayesian network that has recently gained much popularity in applications ranging from document modeling to computer vision. Due to the large scale nature of these applications, current inference procedures like variational Bayes and Gibbs sampling have been fo ..."""
197,"
                  Online LDA: Adaptive Topic Model for Mining Text Streams with Application on Topic Detection and
                  ","""... This paper presents Online Topic Model (OLDA), a topic model that automatically captures the thematic patterns and identifies emerging topics of text streams and their changes over time. Our approach allows the topic modeling framework, specifically the Latent Dirichlet Allocation (LDA) model, to wo ..."""
198,"
                  An Efficient Algorithm for LDA Utilizing the Relationship between LDA and the generalized Minimum Squared Error Solution 
                  ","""... In this paper, we study the relationship between Linear Discriminant Analysis (LDA) and the generalized Minimum Squared Error (MSE) solution. We show that the generalized MSE solution is equivalent to applying a certain classification rule in the space transformed by LDA. The relationship of the MSE ..."""
199,"
                  SVD-LDA: A Combined Model for Text Classification 5 SVD-LDA: A Combined Model for Text Classification
                  ","""... Abstract: Text data has always accounted for a major portion of the world’s information. As the volume of information increases exponentially, the portion of text data also increases significantly. Text classification is therefore still an important area of research. LDA is an updated, probabilistic ..."""
200,"
                  Dragon Boats ACT LDA – Guest Speaker Dragon Boats ACT LDA – Guest Speaker
                  ","""... The meeting was opened and chaired by Mr Peter Beutel (NCA Asset Manager) at 9:00am and welcomed all attending. The 2015 Chair (Nick Hunter) was unable to attend the meeting. ..."""
201,"
                  Mixing Proportions Bayesian Approach Dirichlet Prior LDA Mixture Components Bayesian Inference for LDA
","""... Inference with variational approximation and Gibbs sampling ..."""
202,"
                  Subspace Linear Discriminant Analysis for Face Recognition
                  ","""... In this paper we describe a holistic face recognition method based on subspace Linear Discriminant Analysis (LDA). The method consists of two steps: first we project the face image from the original vector space to a face subspace via Principal Component Analysis where the subspace dimension is care ..."""
203,"
LDA+: A TCP-Friendly Adaptation Scheme for Multimedia Communication
                  ","""... In this paper, we present an end-to-end adaptation scheme, called the enhanced loss-delay based adaptation algorithm (LDA+), for regulating the transmission behavior of multimedia senders in accordance with the network congestion state. LDA+ uses the real-time transport protocol (RTP) for collecting ..."""
204,"
                  Characterizing microblogs with topic models
                  ","""... As microblogging grows in popularity, services like Twitter are coming to support information gathering needs above and beyond their traditional roles as social networks. But most users ’ interaction with Twitter is still primarily focused on their social graphs, forcing the often inappropriate conf ..."""
205,"
                  People-LDA: Anchoring topics to people using face recognition
                  ","""...  ..."""
206,"
                  ET-LDA: Joint Topic Modeling for Aligning Events and their Twitter Feedback
                  ","""... During broadcast events such as the Superbowl, the U.S. Presidential and Primary debates, etc., Twitter has become the de facto platform for crowds to share perspectives and commentaries about them. Given an event and an associated large-scale collection of tweets, there are two fundamental research ..."""
207,"
                  Selecting Principal Components in a Two-Stage LDA Algorithm. CVPR06
                  ","""... Linear Discriminant Analysis (LDA) is a well-known and important tool in pattern recognition with potential applications in many areas of research. The most famous and used formulation of LDA is that given by the Fisher-Rao criterion, where the problem reduces to a simple simultaneous diagonalizatio ..."""
208,"
                  Geometric lda: A generative model for particular object discovery
                  ","""... Automatically organizing collections of images presents serious challenges to the current state-of-the art methods in image data mining. Often, what is required is that images taken in the same place, of the same thing, or of the same person be conceptually grouped together. To achieve this, we intr ..."""
209,"
                  Improving LDA Topic Models for Microblogs via Tweet Pooling and Automatic Labeling
                  ","""... Twitter, or the world of 140 characters poses serious challenges to the efficacy of topic models on short, messy text. While topic mod-els such as Latent Dirichlet Allocation (LDA) have a long history of successful application to news articles and academic abstracts, they are often less coherent whe ..."""
210,"
                  Robust Speech Recognition Using Missing Feature Theory in the Cepstral or LDA Domain
                  ","""... When applying Missing Feature Theory to noise robust speech recognition, spectral features are labeled as either reliable or unreliable in the time-frequency plane. The acoustic model evaluation of the unreliable features is modified to express that their clean values are unknown or confined within  ..."""
211,"
                  A Direct LDA Algorithm for High-DimensionalData -- with Application to Face Recognition
                  ","""... this paper, we present a direct, exact LDA algorithm for high dimensional data set. It accepts high dimensional data (such as raw images) as input, and optimizes Fisher&aposs criterion directly, without any feature extraction or dimensionality reduction steps. ..."""
212,"
                  Named entity recognition in tweets: An experimental study.
                  ","""...  Abstract People tweet more than 100 Million times daily, yielding a noisy, informal, but sometimes informative corpus of 140-character messages that mirrors the zeitgeist in an unprecedented manner. The performance of standard NLP tools is severely degraded on tweets. This paper addresses this issu ..."""
213,"
                  Boosting image classification with LDA-based feature combination for digital photograph management
                  ","""... Image classification is of great importance for digital photograph management. In this paper we propose a general statistical learning method based on boosting algorithm to perform image classification for photograph annotation and management. The proposed method employs both features extracted from ..."""
214,"
                  A Novel Gabor-LDA Based Face Recognition Method
                  ","""... Abstract. In this paper, a novel face recognition method based on Gabor-wavelet and linear discriminant analysis (LDA) is proposed. Given training face images, discriminant vectors are computed using LDA. The function of the discriminant vectors is two-fold. First, discriminant vectors are used as a ..."""
215,"
                  A relationship between LDA and the generalized minimum squared error solution
                  ","""... In this paper, a relationship between Linear Discriminant Analysis (LDA) and the generalized Minimum Squared Error (MSE) solution is presented. The generalized MSE solution is shown to be equivalent to applying a certain classification rule in the space defined by LDA. The relationship between the M ..."""
216,"
                  TM-LDA: Efficient Online Modeling of the Latent Topic Transitions in Social Media
                  ","""... Latent topic analysis has emerged as one of the most effective methods for classifying, clustering and retrieving textual data. However, existing models such as Latent Dirichlet Allocation (LDA) were developed for static corpora of relatively large documents. In contrast, much of the textual content ..."""
217,"
                  Exploring Supervised LDA Models for Assigning Attributes to Adjective-Noun Phrases
                  ","""... This paper introduces an attribute selection task as a way to characterize the inherent meaning of property-denoting adjectives in adjective-noun phrases, such as e.g. hot in hot summer denoting the attribute TEMPERATURE, rather than TASTE. We formulate this task in a vector space model that represe ..."""
218,"
LDA-Based Compound Distance for Handwritten Chinese Character Recognition
                  ","""... In this paper, we propose a linear discriminant analysis (LDA)-based compound distance measure for discriminating similar characters in handwritten Chinese character recognition. The previous compound Mahalanobis function (CMF) is shown to be a special case of the proposed method. On finding similar ..."""
219,"
                  SpeakerLDA: Discovering Topics in Transcribed Multi-Speaker Audio Contents
                  ","""...  ABSTRACT Topic models such as Latent Dirichlet Allocation (LDA)  ..."""
220,"
                  The Geometry of LDA and PCA Classifiers Illustrated with 3D Examples
                  ","""... understanding of the connection between Principal Component Analysis and Gaussian Distributions. It contains a running example showing how Fisher Discriminants are computed and what they look like for an illustrative 3 class problem in 3 dimensional space. Maple 6.0 was used to write this report, an ..."""
221,"
                  Multi-Modal Image Annotation with Multi-Instance Multi-Label LDA ∗
                  ","""... This paper studies the problem of image annotation in a multi-modal setting where both visual and tex-tual information are available. We propose Multi-modal Multi-instance Multi-label Latent Dirichlet Allocation (M3LDA), where the model consists of ..."""
222,"
                   Spatially coherent latent topic model for concurrent object segmentation and classification
                  ","""...   We present a novel generative model for simultaneously recognizing and segmenting object and scene classes. Our model is inspired by the traditional bag of words representation of texts and images as well as a number of related generative models, including probabilistic Latent Sematic Analysis (pL ..."""
223,"
                  Cancer classification by gradient LDA technique using microarray gene . . . 
                  ","""...  ..."""
224,"
                  Object tracking using incremental 2d-lda learning and bayes inference
                  ","""... The appearances of the tracked object and its surrounding background usually change during tracking. As for tracking methods using subspace analysis, fixed subspace basis tends to cause tracking failure. In this paper, a novel tracking method is proposed by using incremental 2D-LDA learning and Baye ..."""
225,"
                  Object Matching in Distributed Video Surveillance Systems by LDA-Based Appearance Descriptors
                  ","""... Object matching in distributed video surveillance systems by LDA-based appearance descriptors ..."""
226,"
                  Face recognition using PCA, LDA and ICA approaches on colored images
                  ","""... In this paper, the performances of appearance-based statistical methods such as Principal Component Analysis (PCA), Linear Discriminant Analysis (LDA) and Independent Component Analysis (ICA) are tested and compared for the recognition of colored face images. Three sets of experiments are conducted  ..."""
227,"
                  Sampling Representative Examples for Dimensionality Reduction and Recognition – Bootstrap Bumping LDA
","""... Abstract. We present a novel method for dimensionality reduction and recognition based on Linear Discriminant Analysis (LDA), which specifically deals with the Small Sample Size (SSS) problem in Computer Vision applications. Unlike the traditional methods, which impose specific assumptions to addres ..."""
228,"
                  To Weight or not to Weight: Source-Normalised LDA for Speaker Recognition using i-vectors
                  ","""... Source-normalised Linear Discriminant Analysis (SN-LDA) was recently introduced to improve speaker recognition using i-vectors extracted from multiple speech sources. SN-LDA normalises for the effect of speech source in the calculation of the between-speaker covariance matrix. Sourcenormalised-and-w ..."""
229,"
                  A Multimodal LDA Model Integrating Textual, Cognitive and Visual Modalities
                  ","""... Recent investigations into grounded models of language have shown that holistic views of language and perception can provide higher performance than independent views. In this work, we improve a two-dimensional multimodal version of Latent Dirichlet Allocation (Andrews et al., 2009) in various ways. ..."""
230,"
                  Independent Comparative Study of PCA, ICA, and LDA on the FERET Data Set
                  ","""... ABSTRACT: Face recognition is one of the most successful applications of image analysis and understanding and has gained much attention in recent years. Various algorithms were proposed and research groups across the world reported different and often contradictory results when comparing them. The a ..."""
231,"
                  CARS Temperature and LDA Velocity Measurements in a Turbulent Swirling
                  ","""...  ABSTRACT This paper present results from a research program being conducted at the Advanced Combustion Engineering Research Center (ACERC) at Brigham Young University (BYU). This study is part of a comprehensive effort supported by the Advanced Gas Turbine Systems Research (ATS) Program headquarter ..."""
232,"
                  Face Recognition using a Color Subspace LDA approach
                  ","""... This paper delves into the problem of face recognition using color as an important cue in improving the accuracy of recognition. To perform recognition of color images, we use the characteristics of a 3D color tensor to generate a color LDA subspace, which in turn can be used to recognize a new prob ..."""
233,"
                  Subspace LDA Methods for Solving the Small Sample Size Problem in Face Recognition
                  ","""... Abstract – In face recognition, LDA often encounters the so-called small sample size (SSS) problem, also known as curse of dimensionality. This problem occurs when the dimensionality of the data is quite large in comparison to the number of available training images. One of the approaches for handli ..."""
234,"
                  Object matching in distributed video surveillance systems by LDA-based appearance descriptors
                  ","""... Establishing correspondences among object instances is still challenging in multi-camera surveillance systems, especially when the cameras’ fields of view are non-overlapping. Spatiotemporal constraints can help in solving the correspondence problem but still leave a wide margin of uncertainty. One  ..."""
235,"
                  Gene Selection for Microarray Data by a LDA-based Genetic Algorithm
                  ","""... Abstract. Gene selection aims at identifying a (small) subset of informative genes from the initial data in order to obtain high predictive accuracy. This paper introduces a new wrapper approach to this difficult task where a Genetic Algorithm (GA) is combined with Fisher’s Linear Discriminant Analy ..."""
236,"
                  You Too?! Mixed-Initiative LDA Story Matching to Help Teens in Distress
                  ","""... Adolescent cyber-bullying on social networks is a phenomenon that has received widespread attention. Recent work by sociologists has examined this phenomenon under the larger context of teenage drama and it&aposs manifestations on social networks. Tackling cyber-bullying involves two key components ..."""
237,"
                  Experimental Study on Multiple LDA Classifier Combination for High Dimensional Data Classification
                  ","""... Abstract. Multiple classifier systems provide an effective way to improve pattern recognition performance. In this paper, we use multiple classifier combination to improve LDA for high dimensional data classification. When dealing with the high dimensional data, LDA often suffers from the small samp ..."""
238,"
                  Limitations of Gaussian Beam Property Based LDA-Velocity Profile Measurement
                  ","""... Abstract When Gaussian laser beam properties are exploited in laser-Doppler anemometry (LDA), fringe patterns can be produced in the measuring volume of LDA-optical systems that show a linear variation of fringe spacing with position. This effect can be utilized to carry out velocity profile measure ..."""
239,"
                  Null Space-Based Lda With Weighted Dual Personal Subspaces For Face Recognition
                  ","""... Linear discriminant analysis (LDA) is popular feature extraction technique for face recognition. However, it often suffers the small sample size problem when dealing with the high dimensional face data. Moreover, the within-class and between-class scatter matrix used in LDA have low effective when d ..."""
240,"
                  Plink-LDA: using link as prior information in topic modeling
                  ","""... Abstract. Citations are highly valuable for analyzing documents and have been widely studied in recent years. Among the document modeling, the citations are treated as documents ’ attributes just like the words in the documents; or as the degrees in graph theory. These methods add citations into wor ..."""
241,"
                  rsLDA: a Bayesian Hierarchical Model for Relational Learning
                  ","""... Abstract—We introduce and evaluate a technique to tackle relational learning tasks combining a framework for mining relational queries with a hierarchical Bayesian model. We present the novel rsLDA algorithm that works as follows. It initially discovers a set of relevant features from the relational ..."""
